Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2 suit,Chrome 67.0.3396.99,,2018-07-26 15:02:40,2018-07-26 15:02:53,12.816s,PASSED
,,,,,,
Test Cases/Day2/Test1,Chrome 67.0.3396.99,,2018-07-26 15:02:40,2018-07-26 15:02:53,12.516s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:02:40,2018-07-26 15:02:43,2.822s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:02:43,2018-07-26 15:02:48,4.526s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:02:48,2018-07-26 15:02:48,0.128s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:02:48,2018-07-26 15:02:48,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:48,2018-07-26 15:02:52,4.076s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:02:52,2018-07-26 15:02:53,0.603s,PASSED
