Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day31,Chrome 67.0.3396.99,,2018-07-26 13:06:47,2018-07-26 13:06:57,9.854s,PASSED
,,,,,,
Test Cases/Day3/NewJenkins,Chrome 67.0.3396.99,,2018-07-26 13:06:47,2018-07-26 13:06:57,9.501s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:06:48,2018-07-26 13:06:50,2.752s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:06:50,2018-07-26 13:06:52,1.604s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:52,2018-07-26 13:06:53,0.772s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:06:53,2018-07-26 13:06:53,0.135s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:06:53,2018-07-26 13:06:53,0.321s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:53,2018-07-26 13:06:54,0.975s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:06:54,2018-07-26 13:06:54,0.155s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:06:54,2018-07-26 13:06:54,0.114s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:54,2018-07-26 13:06:55,0.975s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:55,2018-07-26 13:06:56,0.106s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:56,2018-07-26 13:06:56,0.688s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:06:56,2018-07-26 13:06:57,0.645s,PASSED
