Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day31,Chrome 67.0.3396.99,,2018-07-26 15:22:48,2018-07-26 15:23:02,14.032s,PASSED
,,,,,,
Test Cases/Day3/NewJenkins,Chrome 67.0.3396.99,,2018-07-26 15:22:48,2018-07-26 15:23:02,13.675s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:48,2018-07-26 15:22:51,2.731s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:22:51,2018-07-26 15:22:57,6.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:57,2018-07-26 15:22:57,0.495s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:57,2018-07-26 15:22:58,0.131s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:22:58,2018-07-26 15:22:58,0.318s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:58,2018-07-26 15:22:59,0.995s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:59,2018-07-26 15:22:59,0.138s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:22:59,2018-07-26 15:22:59,0.109s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:59,2018-07-26 15:23:00,1.016s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:23:00,2018-07-26 15:23:00,0.096s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:23:00,2018-07-26 15:23:01,0.685s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:23:01,2018-07-26 15:23:02,0.609s,PASSED
