Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day31,Chrome 67.0.3396.99,,2018-07-26 15:17:32,2018-07-26 15:17:42,9.968s,PASSED
,,,,,,
Test Cases/Day3/NewJenkins,Chrome 67.0.3396.99,,2018-07-26 15:17:32,2018-07-26 15:17:42,9.670s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:33,2018-07-26 15:17:35,2.717s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:17:35,2018-07-26 15:17:37,1.903s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:37,2018-07-26 15:17:38,0.770s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:17:38,2018-07-26 15:17:38,0.132s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:17:38,2018-07-26 15:17:39,0.335s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:39,2018-07-26 15:17:40,0.956s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:17:40,2018-07-26 15:17:40,0.138s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:17:40,2018-07-26 15:17:40,0.101s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:40,2018-07-26 15:17:41,0.967s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:41,2018-07-26 15:17:41,0.102s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:41,2018-07-26 15:17:41,0.655s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:41,2018-07-26 15:17:42,0.612s,PASSED
