Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2 suit,Chrome 67.0.3396.99,,2018-07-26 15:17:43,2018-07-26 15:17:57,13.545s,PASSED
,,,,,,
Test Cases/Day2/Test1,Chrome 67.0.3396.99,,2018-07-26 15:17:44,2018-07-26 15:17:57,13.244s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:44,2018-07-26 15:17:47,2.782s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:52,5.328s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:17:52,2018-07-26 15:17:52,0.131s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:17:52,2018-07-26 15:17:52,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:52,2018-07-26 15:17:56,4.054s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:56,2018-07-26 15:17:57,0.603s,PASSED
