Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day31,Chrome 67.0.3396.99,,2018-07-26 15:01:17,2018-07-26 15:01:26,9.638s,PASSED
,,,,,,
Test Cases/Day3/NewJenkins,Chrome 67.0.3396.99,,2018-07-26 15:01:17,2018-07-26 15:01:26,9.334s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:01:17,2018-07-26 15:01:20,2.748s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:01:20,2018-07-26 15:01:22,1.512s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:22,2018-07-26 15:01:22,0.723s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:01:22,2018-07-26 15:01:22,0.135s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:01:22,2018-07-26 15:01:23,0.316s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:23,2018-07-26 15:01:24,0.937s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:01:24,2018-07-26 15:01:24,0.137s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:01:24,2018-07-26 15:01:24,0.100s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:24,2018-07-26 15:01:25,1.092s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:25,2018-07-26 15:01:25,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:25,2018-07-26 15:01:26,0.664s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:01:26,2018-07-26 15:01:26,0.639s,PASSED
