Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2 suit,Chrome 67.0.3396.99,,2018-07-26 15:23:03,2018-07-26 15:23:16,12.949s,PASSED
,,,,,,
Test Cases/Day2/Test1,Chrome 67.0.3396.99,,2018-07-26 15:23:03,2018-07-26 15:23:16,12.684s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:23:03,2018-07-26 15:23:06,2.745s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:23:06,2018-07-26 15:23:11,4.854s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:23:11,2018-07-26 15:23:11,0.135s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:23:11,2018-07-26 15:23:11,0.081s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:23:11,2018-07-26 15:23:15,4.033s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:23:15,2018-07-26 15:23:16,0.605s,PASSED
