Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2 suit,Chrome 67.0.3396.99,,2018-07-26 15:01:28,2018-07-26 15:01:40,12.562s,PASSED
,,,,,,
Test Cases/Day2/Test1,Chrome 67.0.3396.99,,2018-07-26 15:01:28,2018-07-26 15:01:40,12.286s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:01:28,2018-07-26 15:01:31,2.716s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:01:31,2018-07-26 15:01:35,4.484s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:01:35,2018-07-26 15:01:36,0.117s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:01:36,2018-07-26 15:01:36,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:36,2018-07-26 15:01:40,4.004s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:01:40,2018-07-26 15:01:40,0.626s,PASSED
