Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2 suit,Chrome 67.0.3396.99,,2018-07-25 11:13:53,2018-07-25 11:14:05,12.115s,PASSED
,,,,,,
Test Cases/Day2/Test1,Chrome 67.0.3396.99,,2018-07-25 11:13:53,2018-07-25 11:14:05,11.790s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:13:53,2018-07-25 11:13:56,2.779s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:13:56,2018-07-25 11:14:02,5.672s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:14:02,2018-07-25 11:14:02,0.141s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:14:02,2018-07-25 11:14:02,0.088s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:14:02,2018-07-25 11:14:04,2.200s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:14:04,2018-07-25 11:14:05,0.629s,PASSED
